"ID","Type","Status","Priority","Milestone","Owner","Summary","AllLabels"
"1","Task","Done","Medium","Phase2","jonkgrimes","Issue Tracking","Type-Task, Priority-Medium, Milestone-Phase2"
"2","Task","Done","Medium","Phase2","jonkgrimes","Source Control","Type-Task, Priority-Medium, Milestone-Phase2"
"3","Task","Done","High","Phase2","jonkgrimes","Unit tests","Type-Task, Priority-High, Milestone-Phase2"
"4","Task","Done","Medium","Phase2","jonkgrimes","Implementation","Type-Task, Priority-Medium, Milestone-Phase2"
"5","Task","Done","Medium","Phase2","jonkgrimes","Documentation","Type-Task, Priority-Medium, Milestone-Phase2"
"6","Task","Done","High","Phase2","jonkgrimes","Design","Type-Task, Priority-High, Milestone-Phase2"
"7","Task","Done","Medium","Phase2","jonkgrimes","Overview","Type-Task, Priority-Medium, Milestone-Phase2"
"8","Enhancement","Fixed","Low","Phase3","","Speed up import tests","Type-Enhancement, Priority-Low, Milestone-Phase3"
"9","Enhancement","Accepted","Medium","Phase4","","Add functional tests of website using Twill","Type-Enhancement, Priority-Medium, Milestone-Phase4"
"10","Task","Done","Medium","Phase2","","Add login and session handling","Type-Task, Priority-Medium, Milestone-Phase2"
"11","Enhancement","Fixed","Medium","Phase3","","Handle paging for long lists","Type-Enhancement, Priority-Medium, Milestone-Phase3"
"12","Enhancement","Done","Medium","Phase3","arachidonic.acid","Add sortable tables","Type-Enhancement, Priority-Medium, Milestone-Phase3, Component-UI"
"13","Enhancement","Done","Low","Phase3","arachidonic.acid","Add logging","Type-Enhancement, Priority-Low, Milestone-Phase3"
"14","Task","Done","Medium","Phase2","arachidonic.acid","Update UML diagram","Type-Task, Priority-Medium, Milestone-Phase2"
"15","Task","Done","Medium","Phase2","arachidonic.acid","Include a readme","Type-Task, Priority-Medium, Milestone-Phase2"
"16","Task","Done","Medium","Phase2","arachidonic.acid","Add validation to forms","Type-Task, Priority-Medium, Milestone-Phase2"
"17","Task","Done","High","Phase2","arachidonic.acid","Add association classes (grade, rating, comments) to ui","Type-Task, Priority-High, Milestone-Phase2"
"18","Enhancement","Done","Low","Phase3","arachidonic.acid","Add button to import xml from file","Type-Enhancement, Priority-Low, Milestone-Phase3"
"19","Enhancement","Done","Medium","Phase3","arachidonic.acid","Let user choose from existing items instead of duplicating them","Type-Enhancement, Priority-Medium, Milestone-Phase3"
"20","Enhancement","Postponed","Low","Phase3","arachidonic.acid","Split Class into Class and Course","Type-Enhancement, Priority-Low, Milestone-Phase3"
"21","Enhancement","Accepted","Low","Phase4","arachidonic.acid","Add more fields to Papers","Type-Enhancement, Priority-Low, Milestone-Phase4"
"22","Task","WontFix","Medium","Phase3","arachidonic.acid","Get the giant xml instance cleared up and imported","Type-Task, Priority-Medium, Milestone-Phase3"
"23","Enhancement","Accepted","Low","Phase4","arachidonic.acid","Remove semester from the Place classes","Type-Enhancement, Priority-Low, Milestone-Phase4"
